Country,Traffic_type,2008,2008Q1,2008Q2,2009,2009Q1,2009Q2,2010,2010Q1,2010Q2,2011,2011Q1,2011Q2,2012,2012Q1,2012Q2,2013,2013Q1,2013Q2,2014,2014Q1,2014Q2,2015,2015Q1,2015Q2,2016,2016Q1,2016Q2,2017,2017Q1,2017Q2,2018,2018Q1,2018Q2,2019,2019Q1,2019Q2,2020Q1,2020Q2
Serbia,Cargo,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,22350,0.0,0.0,27375,0.0,0.0,22659,0.0,0.0,0.0,0.0
Serbia,passengers,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4414858,801497.0,1118691.0,4828171,870256.0,1237056.0,5521250,1007228.0,1440357.0,6450643,1110369.0,1665482.0,0.0,0.0
Slovakia,Cargo,7432,0.0,0.0,12231,0.0,0.0,17835,0.0,0.0,20542,0.0,0.0,20893,0.0,0.0,20588,0.0,0.0,18498,0.0,0.0,21216,0.0,0.0,23028,0.0,0.0,27188,0.0,0.0,24565,0.0,0.0,20525,0.0,0.0,0.0,0.0
Slovakia,passengers,2596334,489865.0,652178.0,1948361,345452.0,494833.0,1881844,317337.0,441066.0,1808187,281484.0,439307.0,1563197,227434.0,392388.0,1557149,180572.0,394908.0,1671290,202215.0,386659.0,1943656,263303.0,453253.0,2158261,362866.0,504689.0,2402651,366492.0,540315.0,2794094,433189.0,660563.0,2839787,468654.0,691295.0,338124.0,4868.0
Slovenia,Cargo,8180,0.0,0.0,5584,0.0,0.0,6071,0.0,0.0,6877,0.0,0.0,7572,0.0,0.0,7969,0.0,0.0,8563,0.0,0.0,8891,0.0,0.0,8970,0.0,0.0,12025,0.0,0.0,12337,0.0,0.0,11358,0.0,0.0,0.0,0.0
Slovenia,passengers,1648977,302471.0,463846.0,1423391,235338.0,371078.0,1382341,239184.0,315660.0,1358792,238220.0,365691.0,1167877,217713.0,309438.0,1265766,211843.0,342231.0,1307128,236773.0,334276.0,1436003,236250.0,389671.0,1404152,245393.0,352805.0,1682133,288224.0,434486.0,1810567,329297.0,501025.0,1719039,341704.0,516459.0,191342.0,5292.0
Spain,Cargo,539803,0.0,0.0,502585,0.0,0.0,592336,0.0,0.0,611974,0.0,0.0,593523,0.0,0.0,580847,0.0,0.0,593902,0.0,0.0,594393,0.0,0.0,639237,0.0,0.0,742443,0.0,0.0,806518,0.0,0.0,815612,0.0,0.0,0.0,0.0
Spain,passengers,161400952,34250110.0,43244741.0,148318298,28245835.0,39667570.0,153387014,29206111.0,39470254.0,165153230,31015378.0,44541209.0,159771261,29897496.0,43434122.0,157731973,28060945.0,42657263.0,165354382,28957872.0,45334547.0,174652503,30704528.0,47269615.0,193872037,34941743.0,51808517.0,209824089,37395082.0,57707015.0,220611429,40681867.0,60084475.0,227189012,42824013.0,62494311.0,33739051.0,0.0
Sweden,Cargo,205760,0.0,0.0,161179,0.0,0.0,186263,0.0,0.0,164618,0.0,0.0,141365,0.0,0.0,130405,0.0,0.0,141887,0.0,0.0,146287,0.0,0.0,147214,0.0,0.0,159130,0.0,0.0,158632,0.0,0.0,47959,0.0,0.0,0.0,0.0
Sweden,passengers,27817350,6433562.0,7627456.0,25218784,5572751.0,6728545.0,26646764,5769355.0,6592587.0,29732247,6242854.0,8020022.0,30350849,6618794.0,8199435.0,31443225,6464694.0,8505947.0,32766043,6828496.0,8923502.0,34011263,7005608.0,9117633.0,35952558,7578090.0,9485310.0,38456207,8024978.0,10359587.0,38945096,8390267.0,10507656.0,37614259,8028163.0,10162342.0,6086506.0,0.0
Switzerland,Cargo,347979,0.0,0.0,315695,0.0,0.0,375176,0.0,0.0,390335,0.0,0.0,398715,0.0,0.0,400028,0.0,0.0,407704,0.0,0.0,401925,0.0,0.0,428495,0.0,0.0,486164,0.0,0.0,493202,0.0,0.0,459877,0.0,0.0,0.0,0.0
Switzerland,passengers,36595735,8768688.0,9322655.0,35928169,8086705.0,9107743.0,37615959,8702024.0,8938129.0,41439848,9382096.0,10508883.0,43236086,9904603.0,11080895.0,44217568,10095200.0,11401639.0,46127426,10170693.0,11872137.0,48026375,10506927.0,12352699.0,50505492,11120335.0,12760896.0,53564943,11733873.0,13867679.0,56139549,12233762.0,14559441.0,57194328,12659342.0,14962859.0,9835108.0,0.0
United Kingdom,Cargo,2411463,0.0,0.0,2156206,0.0,0.0,2429026,0.0,0.0,2419718,0.0,0.0,2428375,0.0,0.0,2369879,0.0,0.0,2406673,0.0,0.0,2405225,0.0,0.0,2511011,0.0,0.0,2738784,0.0,0.0,2748539,0.0,0.0,2650232,0.0,0.0,0.0,0.0
United Kingdom,passengers,213890470,45881892.0,56586303.0,198533970,40179375.0,52251395.0,192887734,39340443.0,47954176.0,201536753,39600889.0,53921435.0,203067015,40611393.0,54096653.0,210468980,40992316.0,56205174.0,220022122,42239433.0,59233613.0,232270437,45419293.0,61580642.0,248868873,49215813.0,65003128.0,264629454,52814526.0,70976011.0,272190155,54033292.0,72743391.0,277432380,56146916.0,74922769.0,44768259.0,0.0
